Rep Detail Report V2: Betsy Goslin,,,,,,,,,,,,,,,
Generated: 2025-12-21 17:43:58,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
================================================================================,,,,,,,,,,,,,,,
SUMMARY METRICS,,,,,,,,,,,,,,,
================================================================================,,,,,,,,,,,,,,,
Total Accounts:,Total 2024 Revenue:,Total 2025 Revenue:,Accounts Moved In:,Revenue Moved In:,Floor Exceptions:,Floor Exception Rev:,SF ex BI Accounts:,SF ex BI Rev:,Zero Rev Accounts:,Zero Rev New 2025:,,,,,
140,2599673.28,2527461.42,0,0.0,0,0.0,0,0.0,6,0,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
================================================================================,,,,,,,,,,,,,,,
BREAKDOWN BY SEGMENT,,,,,,,,,,,,,,,
================================================================================,,,,,,,,,,,,,,,
,Accounts,Revenue,Exceptions,Removed,,,,,,,,,,
Group 1 High Potential: ,23,1140722.78,0,0,,,,,,,,,,
Group 1 Medium Potential: ,20,643701.1,0,0,,,,,,,,,,
Group 2 Medium Potential: ,51,400198.43,0,0,,,,,,,,,,
Group 2 High Potential: ,28,328451.75,0,0,,,,,,,,,,
Group 3 Medium Potential: ,5,6434.0,0,0,,,,,,,,,,
Group 2 Low Potential: ,1,2985.66,0,0,,,,,,,,,,
Group 3 Low Potential: ,11,2966.0,0,0,,,,,,,,,,
Group 3 High Potential: ,1,2001.7,0,0,,,,,,,,,,
Totals,140,2527461.42,0,0,,,,,,,,,,
,,,,,,,,,,,,,,,
================================================================================,,,,,,,,,,,,,,,
GROUP 1 (HIGH REVENUE) - KEEPING: 43 accounts | $1784423.88 revenue,,,,,,,,,,,,,,,
================================================================================,,,,,,,,,,,,,,,
Customer No.,Account_Name,Segment,Sub_Segment,Segment_Label,Assigned_Rep_Name,Final_Rep_Name,Total_Rev_2024,Total_Rev_2025,Orders_2024,Orders_2025,Is_New_2025,BTF,Floor_Exception,Floor_Removed,In SF ex BI
1007706,Interior Philosphy,RETAIL,SINGLE_LOCATION,Group 2 High Potential,Betsy Goslin,Betsy Goslin,11870.5,14633.0,7,10,FALSE,N,FALSE,FALSE,N
1024576,Catherine C Wilson Inc,DESIGN,DESIGN_FIRM,Group 2 Medium Potential,Betsy Goslin,Betsy Goslin,35342.73,14525.55,17,9,FALSE,N,FALSE,FALSE,N
1013142,Black Sheep Interiors,DESIGN,DESIGN_FIRM,Group 2 High Potential,Betsy Goslin,Betsy Goslin,15051.42,14204.0,10,7,FALSE,N,FALSE,FALSE,N
1037147,BellHouse Interiors,DESIGN,DESIGNER_INDEPENDENT,Group 2 High Potential,Betsy Goslin,Betsy Goslin,0.0,13781.0,0,6,TRUE,N,FALSE,FALSE,N
1023635,DM Interiors & Design,RETAIL,SINGLE_LOCATION,Group 2 High Potential,Betsy Goslin,Betsy Goslin,11154.9,13655.0,11,12,FALSE,N,FALSE,FALSE,N
1027121,Liam & Lana,RETAIL,SINGLE_LOCATION,Group 2 High Potential,Betsy Goslin,Betsy Goslin,5532.0,13438.5,16,20,FALSE,N,FALSE,FALSE,N
1003482,Trinity Mercantile and Design,RETAIL,SINGLE_LOCATION,Group 2 Medium Potential,Betsy Goslin,Betsy Goslin,15917.0,13379.0,11,5,FALSE,N,FALSE,FALSE,N
1018965,BROOKS FURNITURE,RETAIL,SINGLE_LOCATION,Group 2 Medium Potential,Betsy Goslin,Betsy Goslin,13381.4,13195.0,32,31,FALSE,N,FALSE,FALSE,N
1003293,Hollberg's Fine Furniture,RETAIL,SINGLE_LOCATION,Group 2 Medium Potential,Betsy Goslin,Betsy Goslin,14681.9,12805.0,47,25,FALSE,N,FALSE,FALSE,N
1009108,Mathews Furniture Galleries,RETAIL,SINGLE_LOCATION,Group 2 Medium Potential,Betsy Goslin,Betsy Goslin,19558.0,12707.67,9,1,FALSE,N,FALSE,FALSE,N
1025999,BB Interiors Boylan Enterprises Inc,DESIGN,DESIGNER_INDEPENDENT,Group 2 Medium Potential,Betsy Goslin,Betsy Goslin,10141.5,12310.9,11,5,FALSE,N,FALSE,FALSE,N
1000651,Middle Georgia Tile Co,RETAIL,SINGLE_LOCATION,Group 2 Medium Potential,Betsy Goslin,Betsy Goslin,12820.3,12221.0,16,13,FALSE,N,FALSE,FALSE,N
1002636,Signature Interiors (GA),RETAIL,SINGLE_LOCATION,Group 2 Medium Potential,Betsy Goslin,Betsy Goslin,15222.4,12106.56,21,12,FALSE,N,FALSE,FALSE,N
1008195,"Mark Williams Design Assoc, LLC",DESIGN,DESIGN_FIRM,Group 2 High Potential,Betsy Goslin,Betsy Goslin,4151.0,11880.0,5,4,FALSE,N,FALSE,FALSE,N
1010253,Design 2 Sell,DESIGN,DESIGN_FIRM,Group 2 Medium Potential,Betsy Goslin,Betsy Goslin,20378.6,11418.6,7,7,FALSE,N,FALSE,FALSE,N
1020857,BEJO INTERIORS LLC dba B INTERIORS,RETAIL,SINGLE_LOCATION,Group 2 Medium Potential,Betsy Goslin,Betsy Goslin,16543.3,10989.4,16,9,FALSE,N,FALSE,FALSE,N
1019332,The Happy Home,RETAIL,SINGLE_LOCATION,Group 2 High Potential,Betsy Goslin,Betsy Goslin,6961.0,10938.0,6,19,FALSE,N,FALSE,FALSE,N
1016510,Laura Burbrink Designs,DESIGN,DESIGNER_INDEPENDENT,Group 2 High Potential,Betsy Goslin,Betsy Goslin,24975.0,10796.5,13,7,FALSE,N,FALSE,FALSE,N
