Rep Detail Report V2: Ted Fall,,,,,,,,,,,,,,,
Generated: 2025-12-21 17:00:12,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
================================================================================,,,,,,,,,,,,,,,
SUMMARY METRICS,,,,,,,,,,,,,,,
================================================================================,,,,,,,,,,,,,,,
Total Accounts:,Total 2024 Revenue:,Total 2025 Revenue:,Accounts Moved In:,Revenue Moved In:,Floor Exceptions:,Floor Exception Rev:,SF ex BI Accounts:,SF ex BI Rev:,Zero Rev Accounts:,Zero Rev New 2025:,,,,,
149,1622456.38,1676378.62,0,0.0,5,3088.0,0,0.0,31,7,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
================================================================================,,,,,,,,,,,,,,,
BREAKDOWN BY SEGMENT,,,,,,,,,,,,,,,
================================================================================,,,,,,,,,,,,,,,
,Accounts,Revenue,Exceptions,Removed,,,,,,,,,,
Group 1 High Potential: ,18,776057.66,0,0,,,,,,,,,,
Group 1 Medium Potential: ,11,325049.67,0,0,,,,,,,,,,
Group 2 Medium Potential: ,44,285248.95,0,0,,,,,,,,,,
Group 2 High Potential: ,24,254696.5,0,0,,,,,,,,,,
Group 2 Low Potential: ,3,20814.5,0,0,,,,,,,,,,
Group 3 High Potential: ,16,7579.14,0,0,,,,,,,,,,
Group 3 Medium Potential: ,7,7293.5,3,0,,,,,,,,,,
Group 3 Low Potential: ,26,-361.3,2,0,,,,,,,,,,
Totals,149,1676378.62,5,0,,,,,,,,,,
,,,,,,,,,,,,,,,
================================================================================,,,,,,,,,,,,,,,
GROUP 1 (HIGH REVENUE) - KEEPING: 29 accounts | $1101107.33 revenue,,,,,,,,,,,,,,,
================================================================================,,,,,,,,,,,,,,,
Customer No.,Account_Name,Segment,Sub_Segment,Segment_Label,Assigned_Rep_Name,Final_Rep_Name,Total_Rev_2024,Total_Rev_2025,Orders_2024,Orders_2025,Is_New_2025,BTF,Floor_Exception,Floor_Removed,In SF ex BI
1013123,Forsyth and Brown LLC,DESIGN,DESIGN_FIRM,Group 2 Medium Potential,Ted Fall,Ted Fall,33.0,5090.0,1,1,FALSE,N,FALSE,FALSE,N
1000363,Artifacts,DESIGN,DESIGN_FIRM,Group 2 Medium Potential,Ted Fall,Ted Fall,18423.9,4923.0,13,7,FALSE,N,FALSE,FALSE,N
1007007,King Design Consulting Group,DESIGN,DESIGN_FIRM,Group 2 Low Potential,Ted Fall,Ted Fall,5418.0,4859.0,4,2,FALSE,N,FALSE,FALSE,N
1010052,Elizabeth Robb Interiors,DESIGN,DESIGN_FIRM,Group 2 Medium Potential,Ted Fall,Ted Fall,10232.0,4824.0,3,2,FALSE,N,FALSE,FALSE,N
1010476,Pradhan Design,DESIGN,DESIGN_FIRM,Group 2 Medium Potential,Ted Fall,Ted Fall,1050.0,4622.0,2,3,FALSE,N,FALSE,FALSE,N
1009687,Meagan Rae Interiors,DESIGN,DESIGNER_INDEPENDENT,Group 2 Medium Potential,Ted Fall,Ted Fall,9355.0,4549.5,5,1,FALSE,N,FALSE,FALSE,N
1002224,Gallatin Valley Furniture,RETAIL,SINGLE_LOCATION,Group 2 High Potential,Ted Fall,Ted Fall,0.0,4480.0,0,1,TRUE,N,FALSE,FALSE,N
1015463,Chandlar Glassett Interiors,DESIGN,DESIGNER_INDEPENDENT,Group 2 High Potential,Ted Fall,Ted Fall,1428.0,4080.0,3,3,FALSE,N,FALSE,FALSE,N
1024199,SKD Interiors LLC,DESIGN,DESIGN_FIRM,Group 2 Medium Potential,Ted Fall,Ted Fall,2623.0,3995.6,1,3,FALSE,N,FALSE,FALSE,N
1035495,DiOrio Design,DESIGN,DESIGNER_INDEPENDENT,Group 2 Medium Potential,Ted Fall,Ted Fall,0.0,3948.0,2,0,FALSE,N,FALSE,FALSE,N
1005888,Shannon Callaghan Interior Design,RETAIL,SINGLE_LOCATION,Group 2 High Potential,Ted Fall,Ted Fall,0.0,3826.0,0,2,TRUE,N,FALSE,FALSE,N
