Rep Detail Report V2: Aaron Kirsch,,,,,,,,,,,,,,,
Generated: 2025-12-21 17:00:10,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
================================================================================,,,,,,,,,,,,,,,
SUMMARY METRICS,,,,,,,,,,,,,,,
================================================================================,,,,,,,,,,,,,,,
Total Accounts:,Total 2024 Revenue:,Total 2025 Revenue:,Accounts Moved In:,Revenue Moved In:,Floor Exceptions:,Floor Exception Rev:,SF ex BI Accounts:,SF ex BI Rev:,Zero Rev Accounts:,Zero Rev New 2025:,,,,,
113,770355.8,505938.85,0,0.0,21,708.4,36,0.0,74,0,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
================================================================================,,,,,,,,,,,,,,,
BREAKDOWN BY SEGMENT,,,,,,,,,,,,,,,
================================================================================,,,,,,,,,,,,,,,
,Accounts,Revenue,Exceptions,Removed,,,,,,,,,,
Group 1 Medium Potential: ,5,130948.35,0,0,,,,,,,,,,
Group 1 High Potential: ,3,124072.38,0,0,,,,,,,,,,
Group 2 Medium Potential: ,13,87475.12,0,0,,,,,,,,,,
Group 1 Low Potential: ,2,72918.1,0,0,,,,,,,,,,
Group 2 High Potential: ,5,56080.9,0,0,,,,,,,,,,
Group 2 Low Potential: ,2,27184.6,0,0,,,,,,,,,,
Group 3 Medium Potential: ,2,3619.0,0,0,,,,,,,,,,
Group 3 High Potential: ,4,2597.0,0,0,,,,,,,,,,
Group 3 Low Potential: ,77,1043.4,21,0,,,,,,,,,,
Totals,113,505938.85,21,0,,,,,,,,,,
,,,,,,,,,,,,,,,
================================================================================,,,,,,,,,,,,,,,
1024504,"Decorarte, S.A. de C.V.",RETAIL,SINGLE_LOCATION,Group 3 Low Potential,Aaron Kirsch,Aaron Kirsch,0.0,0.0,0,0,FALSE,N,FALSE,FALSE,N
1022208,Diane Eden Design,RETAIL,SINGLE_LOCATION,Group 3 Low Potential,Aaron Kirsch,Aaron Kirsch,455.0,0.0,1,0,FALSE,N,FALSE,FALSE,N
1020421,Zona E Home (FL),RETAIL,MULTIPLE_LOCATIONS,Group 3 Low Potential,Aaron Kirsch,Aaron Kirsch,0.0,0.0,0,0,FALSE,N,FALSE,FALSE,N
1026958,Antonio P. Hache & Co.,RETAIL,MULTIPLE_LOCATIONS,Group 3 Low Potential,Aaron Kirsch,Aaron Kirsch,6469.0,0.0,1,0,FALSE,N,FALSE,FALSE,N
1027396,Francisco Guzman Interior Design,RETAIL,SINGLE_LOCATION,Group 3 Low Potential,Aaron Kirsch,Aaron Kirsch,9369.5,0.0,1,0,FALSE,N,FALSE,FALSE,N
1005235,AHCorp Ecuador CIA LTDA,Retail,Single location,Group 3 Low Potential,Aaron Kirsch,Aaron Kirsch,0.0,0.0,0,0,FALSE,N,FALSE,FALSE,Y
1018774,Prodecor S.A. de C.V.,Retail,Single location,Group 3 Low Potential,Aaron Kirsch,Aaron Kirsch,0.0,0.0,0,0,FALSE,N,FALSE,FALSE,Y
1020782,IHO Espacios,Retail,Multiple locations,Group 3 Low Potential,Aaron Kirsch,Aaron Kirsch,0.0,0.0,0,0,FALSE,N,FALSE,FALSE,Y
1021629,Spice islands dream properties ltd,Retail,Single location,Group 3 Low Potential,Aaron Kirsch,Aaron Kirsch,0.0,0.0,0,0,FALSE,N,FALSE,FALSE,Y
1021774,Sevilla Home,Retail,Single location,Group 3 Low Potential,Aaron Kirsch,Aaron Kirsch,0.0,0.0,0,0,FALSE,N,FALSE,FALSE,Y
1024883,Afalconi-Design,Retail,Single location,Group 3 Low Potential,Aaron Kirsch,Aaron Kirsch,0.0,0.0,0,0,FALSE,N,FALSE,FALSE,Y
1024885,Farte decoracion,Retail,Multiple locations,Group 3 Low Potential,Aaron Kirsch,Aaron Kirsch,0.0,0.0,0,0,FALSE,N,FALSE,FALSE,Y
1025905,Salvador Perez Rangel,Retail,Single location,Group 3 Low Potential,Aaron Kirsch,Aaron Kirsch,0.0,0.0,0,0,FALSE,N,FALSE,FALSE,Y
1027060,Branco interiorismo,Retail,Single location,Group 3 Low Potential,Aaron Kirsch,Aaron Kirsch,0.0,0.0,0,0,FALSE,N,FALSE,FALSE,Y
1027062,Island Nest Ltd,Retail,Single location,Group 3 Low Potential,Aaron Kirsch,Aaron Kirsch,0.0,0.0,0,0,FALSE,N,FALSE,FALSE,Y
1027479,Abstracto S.A de C.V.,Retail,Single location,Group 3 Low Potential,Aaron Kirsch,Aaron Kirsch,0.0,0.0,0,0,FALSE,N,FALSE,FALSE,Y
1035129,WRT WORLD ENTERPRISES,Retail,Multiple locations,Group 3 Low Potential,Aaron Kirsch,Aaron Kirsch,0.0,0.0,0,0,FALSE,N,FALSE,FALSE,Y
1036578,Arquit Cover,Retail,Single location,Group 3 Low Potential,Aaron Kirsch,Aaron Kirsch,0.0,0.0,0,0,FALSE,N,FALSE,FALSE,Y
1037892,dELACRUZ PROJECTS,Retail,Single location,Group 3 Low Potential,Aaron Kirsch,Aaron Kirsch,0.0,0.0,0,0,FALSE,N,FALSE,FALSE,Y
1038126,Marsala Haus,Retail,Single location,Group 3 Low Potential,Aaron Kirsch,Aaron Kirsch,0.0,0.0,0,0,FALSE,N,FALSE,FALSE,Y
1038413,Souk Decoration,Retail,Single location,Group 3 Low Potential,Aaron Kirsch,Aaron Kirsch,0.0,0.0,0,0,FALSE,N,FALSE,FALSE,Y
1038470,Filamento,Retail,Single location,Group 3 Low Potential,Aaron Kirsch,Aaron Kirsch,0.0,0.0,0,0,FALSE,N,FALSE,FALSE,Y
,,,,,,,,,,,,,,,
================================================================================,,,,,,,,,,,,,,,
GROUP 3 (LOW REVENUE) - FLOOR EXCEPTIONS: 21 accounts | $708.40 revenue,,,,,,,,,,,,,,,
(BTF='Y' but account stayed with original rep - EXCEPTION MADE),,,,,,,,,,,,,,,
================================================================================,,,,,,,,,,,,,,,
Customer No.,Account_Name,Segment,Sub_Segment,Segment_Label,Assigned_Rep_Name,Final_Rep_Name,Total_Rev_2024,Total_Rev_2025,Orders_2024,Orders_2025,Is_New_2025,BTF,Floor_Exception,Floor_Removed,In SF ex BI
1014124,GC Interior Design SA,DESIGN,DESIGN_FIRM,Group 3 Low Potential,Aaron Kirsch,Aaron Kirsch,9651.5,474.4,4,1,FALSE,Y,TRUE,FALSE,N
1004936,Arquitectura De Interiores,DESIGN,DESIGN_FIRM,Group 3 Low Potential,Aaron Kirsch,Aaron Kirsch,7609.0,234.0,5,1,FALSE,Y,TRUE,FALSE,N
1005246,Joel Valenzuela,Design,Architect/Builder,Group 3 Low Potential,Aaron Kirsch,Aaron Kirsch,0.0,0.0,0,0,FALSE,Y,TRUE,FALSE,Y
1019614,Arte y Decoracion,Design,Independent Designer,Group 3 Low Potential,Aaron Kirsch,Aaron Kirsch,0.0,0.0,0,0,FALSE,Y,TRUE,FALSE,Y
1020132,TAJ Designs,Design,Independent Designer,Group 3 Low Potential,Aaron Kirsch,Aaron Kirsch,0.0,0.0,0,0,FALSE,Y,TRUE,FALSE,Y
1021908,Studio Armin,Design,Design Firm,Group 3 Low Potential,Aaron Kirsch,Aaron Kirsch,0.0,0.0,0,0,FALSE,Y,TRUE,FALSE,Y
1022887,Burbeck Interiors,Design,Design Firm,Group 3 Low Potential,Aaron Kirsch,Aaron Kirsch,0.0,0.0,0,0,FALSE,Y,TRUE,FALSE,Y
1023650,Dominican Interior Designers,Design,Design Firm,Group 3 Low Potential,Aaron Kirsch,Aaron Kirsch,0.0,0.0,0,0,FALSE,Y,TRUE,FALSE,Y
1024584,Eclectique Home,Design,Independent Designer,Group 3 Low Potential,Aaron Kirsch,Aaron Kirsch,0.0,0.0,0,0,FALSE,Y,TRUE,FALSE,Y
1025270,mov art studio,Design,Independent Designer,Group 3 Low Potential,Aaron Kirsch,Aaron Kirsch,0.0,0.0,0,0,FALSE,Y,TRUE,FALSE,Y
1025425,Casa Tropikana,Design,Independent Designer,Group 3 Low Potential,Aaron Kirsch,Aaron Kirsch,0.0,0.0,0,0,FALSE,Y,TRUE,FALSE,Y
1026015,Veciiin Design Studio,Design,Design Firm,Group 3 Low Potential,Aaron Kirsch,Aaron Kirsch,0.0,0.0,0,0,FALSE,Y,TRUE,FALSE,Y
1026098,Ana Basalo Studio,Design,Design Firm,Group 3 Low Potential,Aaron Kirsch,Aaron Kirsch,0.0,0.0,0,0,FALSE,Y,TRUE,FALSE,Y
1027241,Norma Redo,Design,Design Firm,Group 3 Low Potential,Aaron Kirsch,Aaron Kirsch,0.0,0.0,0,0,FALSE,Y,TRUE,FALSE,Y
1027264,Boutique designs,Design,Independent Designer,Group 3 Low Potential,Aaron Kirsch,Aaron Kirsch,0.0,0.0,0,0,FALSE,Y,TRUE,FALSE,Y
1035224,Collignon living,Design,Independent Designer,Group 3 Low Potential,Aaron Kirsch,Aaron Kirsch,0.0,0.0,0,0,FALSE,Y,TRUE,FALSE,Y
1036084,ORBITARQ,Design,Architect/Builder,Group 3 Low Potential,Aaron Kirsch,Aaron Kirsch,0.0,0.0,0,0,FALSE,Y,TRUE,FALSE,Y
1037494,ALIADESIGNSTUDIO S.A.S.,Design,Design Firm,Group 3 Low Potential,Aaron Kirsch,Aaron Kirsch,0.0,0.0,0,0,FALSE,Y,TRUE,FALSE,Y
1038466,IDesign Studio,Design,Independent Designer,Group 3 Low Potential,Aaron Kirsch,Aaron Kirsch,0.0,0.0,0,0,FALSE,Y,TRUE,FALSE,Y
