Rep Detail Report: Susan Whitworth,,,,,,,,,,,,,,
Generated: 2025-12-18 06:44:57,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
================================================================================,,,,,,,,,,,,,,
SUMMARY METRICS,,,,,,,,,,,,,,
================================================================================,,,,,,,,,,,,,,
Total Accounts (after alignment):,Total 2024 Revenue: ,Total 2025 Revenue:,Accounts Removed (Floor):,Revenue Removed (Floor): ,Final Accounts (Keeping):,Final Revenue (Keeping):,Zero Revenue Accounts:,Zero Revenue New 2025 Accounts: ,,,,,,
148,1418968.01,1585036.97,53,18851.5,95,1566185.47,61,5,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
================================================================================,,,,,,,,,,,,,,
BREAKDOWN BY SEGMENT,,,,,,,,,,,,,,
================================================================================,,,,,,,,,,,,,,
,Accounts,Revenue,Removed,,,,,,,,,,
Group 1 High Potential: ,19,1189901.65,0,,,,,,,,,,
Group 2 High Potential: ,18,184346.1,0,,,,,,,,,,
Group 2 Medium Potential: ,21,140620.76,0,,,,,,,,,,
Group 1 Medium Potential: ,2,40605.36,0,,,,,,,,,,
Group 3 Medium Potential: ,19,22775.1,13,,,,,,,,,,
Group 3 High Potential: ,11,5859.0,0,,,,,,,,,,
Group 3 Low Potential: ,58,929.0,40,,,,,,,,,,
Totals,148,1585036.97,53,,,,,,,,,,
,,,,,,,,,,,,,,
================================================================================,,,,,,,,,,,,,,
GROUP 1 (HIGH REVENUE) - KEEPING: 21 accounts | 1230507.01 revenue,,,,,,,,,,,,,,
================================================================================,,,,,,,,,,,,,,
Account_ID,Account_Name,Segment,Sub_Segment,Total_Rev_2024,Total_Rev_2025,Orders_2024,Orders_2025,Revenue_Tier,Potential_Tier,Segment_Label,Customer_Since_Date,Is_New_2025,Composite_Score,Floor_Removed
1012995,"Class, Covers & Color, Inc",DESIGN,DESIGN_FIRM,16979.3,11898.34,9,9,MID_REVENUE,HIGH_POTENTIAL,Group 2 High Potential,11/21/2019,FALSE,76.0,FALSE
1004261,"Lori Caldwell Designs, LLC",DESIGN,DESIGNER_INDEPENDENT,16283.3,10726.0,10,6,MID_REVENUE,MID_POTENTIAL,Group 2 Medium Potential,7/13/2021,FALSE,67.1,FALSE
1023175,Beth Weldon Design,DESIGN,DESIGNER_INDEPENDENT,5828.0,10675.0,2,2,MID_REVENUE,MID_POTENTIAL,Group 2 Medium Potential,11/18/2022,FALSE,50.6,FALSE
1004798,Laura Burton Interiors,DESIGN,ARCHITECT_BUILDER,2159.5,9739.0,1,3,MID_REVENUE,HIGH_POTENTIAL,Group 2 High Potential,4/17/2020,FALSE,71.7,FALSE
1000978,Castor Collection,RETAIL,SINGLE_LOCATION,13258.0,9195.6,16,17,MID_REVENUE,HIGH_POTENTIAL,Group 2 High Potential,10/20/2019,FALSE,71.3,FALSE
1004249,Ice Interior Design,DESIGN,DESIGN_FIRM,2970.0,8695.88,10,5,MID_REVENUE,HIGH_POTENTIAL,Group 2 High Potential,1/7/2020,FALSE,77.8,FALSE
1009652,Shannon Crain Design,DESIGN,DESIGNER_INDEPENDENT,10918.0,8548.0,6,5,MID_REVENUE,HIGH_POTENTIAL,Group 2 High Potential,6/14/2021,FALSE,73.5,FALSE
1012338,Davinci Interiors,DESIGN,DESIGNER_INDEPENDENT,6579.0,8162.0,4,5,MID_REVENUE,MID_POTENTIAL,Group 2 Medium Potential,11/21/2022,FALSE,65.4,FALSE
1000948,Diva The Ultimate De,RETAIL,SINGLE_LOCATION,13027.4,8113.0,21,14,MID_REVENUE,HIGH_POTENTIAL,Group 2 High Potential,10/21/2019,FALSE,70.6,FALSE
1024379,Frances Harvey,DESIGN,DESIGN_FIRM,550.0,7569.5,2,2,MID_REVENUE,HIGH_POTENTIAL,Group 2 High Potential,11/21/2023,FALSE,70.6,FALSE
1009124,Spruce (TX),DESIGN,DESIGN_FIRM,18325.7,7507.0,10,5,MID_REVENUE,MID_POTENTIAL,Group 2 Medium Potential,1/14/2020,FALSE,69.1,FALSE
1015269,House Mill,DESIGN,DESIGNER_INDEPENDENT,29682.09,7416.22,30,12,MID_REVENUE,MID_POTENTIAL,Group 2 Medium Potential,5/4/2020,FALSE,61.1,FALSE
1036101,Gary W Raesz Co Inc,RETAIL,SINGLE_LOCATION,0.0,7319.0,0,2,MID_REVENUE,HIGH_POTENTIAL,Group 2 High Potential,2/19/2025,TRUE,48.6,FALSE
1002793,Glynis Wood Interiors,DESIGN,DESIGNER_INDEPENDENT,1374.0,7040.0,1,4,MID_REVENUE,MID_POTENTIAL,Group 2 Medium Potential,2/13/2020,FALSE,62.6,FALSE
1011118,Amity Worrel and Co,DESIGN,DESIGN_FIRM,0.0,7040.0,0,2,MID_REVENUE,MID_POTENTIAL,Group 2 Medium Potential,3/31/2021,FALSE,60.5,FALSE
1037097,"HillKane, LLC  dba: Style House Home Furnishings",RETAIL,SINGLE_LOCATION,0.0,6663.5,0,4,MID_REVENUE,HIGH_POTENTIAL,Group 2 High Potential,5/22/2025,TRUE,55.9,FALSE
1012054,Frosted Home,DESIGN,DESIGN_FIRM,1650.0,6170.0,2,2,MID_REVENUE,MID_POTENTIAL,Group 2 Medium Potential,11/25/2019,FALSE,66.1,FALSE
1006181,Peel Paulson Design Studio,DESIGN,DESIGNER_INDEPENDENT,53034.51,6106.63,42,9,MID_REVENUE,MID_POTENTIAL,Group 2 Medium Potential,4/10/2020,FALSE,64.0,FALSE
1012673,Shared Treasures,RETAIL,SINGLE_LOCATION,3890.0,5775.0,2,5,MID_REVENUE,MID_POTENTIAL,Group 2 Medium Potential,7/13/2020,FALSE,67.6,FALSE
1010694,Sisters Interiors,DESIGN,DESIGN_FIRM,6267.0,5762.5,11,6,MID_REVENUE,MID_POTENTIAL,Group 2 Medium Potential,2/11/2020,FALSE,68.4,FALSE
1024848,Redefine Designs Co.,DESIGN,DESIGNER_INDEPENDENT,3353.8,4960.0,2,2,MID_REVENUE,MID_POTENTIAL,Group 2 Medium Potential,6/27/2023,FALSE,56.9,FALSE
1000820,Laura Britt Design LLC,DESIGN,DESIGN_FIRM,8689.5,4852.5,4,6,MID_REVENUE,MID_POTENTIAL,Group 2 Medium Potential,5/24/2019,FALSE,55.0,FALSE
1019177,Tribe Design Group,DESIGN,DESIGN_FIRM,111.0,4764.0,1,1,MID_REVENUE,MID_POTENTIAL,Group 2 Medium Potential,5/12/2022,FALSE,66.4,FALSE
1013187,Bay Inspired Living,RETAIL,SINGLE_LOCATION,8962.9,4716.13,12,10,MID_REVENUE,HIGH_POTENTIAL,Group 2 High Potential,8/9/2019,FALSE,71.6,FALSE
1002515,Robin Bond Interiors,DESIGN,DESIGN_FIRM,713.8,3983.0,2,4,MID_REVENUE,HIGH_POTENTIAL,Group 2 High Potential,10/21/2019,FALSE,88.4,FALSE
1011400,"Bandd Design Co, LLC",DESIGN,DESIGNER_INDEPENDENT,4619.0,3760.0,10,16,MID_REVENUE,MID_POTENTIAL,Group 2 Medium Potential,10/21/2020,FALSE,64.0,FALSE
1012943,Kristen Nix Interiors,DESIGN,DESIGNER_INDEPENDENT,6749.75,3065.0,3,1,MID_REVENUE,MID_POTENTIAL,Group 2 Medium Potential,2/19/2020,FALSE,54.6,FALSE
1006438,"Rachel Mast Design, Inc.",DESIGN,DESIGN_FIRM,0.0,2863.0,0,1,MID_REVENUE,MID_POTENTIAL,Group 2 Medium Potential,2/24/2020,FALSE,55.9,FALSE
1022373,"Catrina's Western Centers dba, Catrina's Interiors",RETAIL,SINGLE_LOCATION,5400.0,2750.7,14,5,MID_REVENUE,MID_POTENTIAL,Group 2 Medium Potential,8/10/2022,FALSE,52.8,FALSE
1002845,Interior Trade Cartel,DESIGN,DESIGN_FIRM,0.0,2615.0,0,1,MID_REVENUE,MID_POTENTIAL,Group 2 Medium Potential,1/10/2020,FALSE,56.1,FALSE
,,,,,,,,,,,,,,
================================================================================,,,,,,,,,,,,,,
GROUP 3 (LOW REVENUE) - KEEPING: 35 accounts | 10711.60 revenue,,,,,,,,,,,,,,
(Non-DESIGN accounts or New 2025 customers - protected from floor),,,,,,,,,,,,,,
================================================================================,,,,,,,,,,,,,,
Account_ID,Account_Name,Segment,Sub_Segment,Total_Rev_2024,Total_Rev_2025,Orders_2024,Orders_2025,Revenue_Tier,Potential_Tier,Segment_Label,Customer_Since_Date,Is_New_2025,Composite_Score,Floor_Removed
1037935,Relics Home,DESIGN,DESIGN_FIRM,0.0,2480.0,0,1,LOW_REVENUE,HIGH_POTENTIAL,Group 3 High Potential,9/4/2025,TRUE,51.9,FALSE
1035649,JNID Studios LLC,DESIGN,DESIGN_FIRM,0.0,1853.0,0,1,LOW_REVENUE,HIGH_POTENTIAL,Group 3 High Potential,1/6/2025,TRUE,43.6,FALSE
1009235,KC Grey Home,RETAIL,SINGLE_LOCATION,2245.0,1215.0,5,2,LOW_REVENUE,MID_POTENTIAL,Group 3 Medium Potential,9/10/2019,FALSE,61.4,FALSE
1008750,GOODgoods,RETAIL,SINGLE_LOCATION,1400.0,1015.0,2,4,LOW_REVENUE,MID_POTENTIAL,Group 3 Medium Potential,3/3/2020,FALSE,47.4,FALSE
1007750,Furniture Center,RETAIL,SINGLE_LOCATION,1224.0,880.0,2,1,LOW_REVENUE,MID_POTENTIAL,Group 3 Medium Potential,4/7/2021,FALSE,46.3,FALSE
1037986,Hill Country Interiors,RETAIL,SINGLE_LOCATION,0.0,749.0,0,3,LOW_REVENUE,HIGH_POTENTIAL,Group 3 High Potential,9/12/2025,TRUE,47.9,FALSE
1038417,Feather Your Nest,RETAIL,SINGLE_LOCATION,0.0,727.0,0,1,LOW_REVENUE,HIGH_POTENTIAL,Group 3 High Potential,11/1/2025,TRUE,50.2,FALSE
1012045,Vega's Interiors,RETAIL,SINGLE_LOCATION,0.0,638.6,0,3,LOW_REVENUE,MID_POTENTIAL,Group 3 Medium Potential,11/24/2020,FALSE,58.3,FALSE
1017308,MADE By Milling Around Interiors,RETAIL,SINGLE_LOCATION,0.0,610.0,0,1,LOW_REVENUE,MID_POTENTIAL,Group 3 Medium Potential,10/6/2021,FALSE,52.8,FALSE
